"Barry Gosin","Newmark","http://www.ngkf.com"
"James Grippi","The Carlyle Group","http://www.carlyle.com"
"Dan Gronich","Gronich & Company, Inc.",
"Joseph A. Grotto, Jr.","Cushman & Wakefield Inc","http://www.cushmanwakefield.com"
"Jeffrey Gural","GFP Real Estate LLC","http://www.gfpre.com"
"Eric D. Hadar","Allied Partners Inc","http://www.alliedpartners.com"
"Warren Heller","Branton Realty Services LLC","http://brantonrealty.com"
"Damon Hemmerdinger","ATCO Properties & Management, LLC","http://www.atco555.com"
"Dorothy Herman","Douglas Elliman Real Estate","http://www.elliman.com"
"Leslie Wohlman Himmel","Himmel + Meringoff Properties, LLC","http://www.hmprop.com"
"Marc Holliday","SL Green Realty Corp.","http://www.slgreen.com"
"Jonathan Iger","Sage Realty","https://www.sagerealty.com/"
"Gary Jacob","Glenwood Management Corp","http://www.glenwoodnyc.com"
"Peter S. Kalikow","Kalikow, H.J. & Co., LLC","http://www.hjkalikow.com"
"Meredith Kane","Paul, Weiss, Rifkind, Wharton & Garrison","http://www.paulweiss.com"
"Steven Kenny","Bank of America Merrill Lynch","http://www.bofaml.com"
"George Klein","Park Tower Group",
"Marian Klein","Park Tower Group",
"Robert Knakal","JLL","http://www.us.jll.com"
"David J. Koeppel","Koeppel Companies LLC","http://www.koeppelcompanies.com"
"James D. Kuhn","Newmark","http://www.ngkf.com"
"Kevin Lalezarian","Lalezarian Properties LLC",
"Harrison LeFrak","The LeFrak Organization","http://www.lefrak.com"
"Jeffrey E. Levine","Douglaston Development","http://www.levinebuilders.com"
"David Lichtenstein","The Lightstone Group","http://www.lightstonegroup.com"
"Pamela B Liebman","Corcoran Sunshine Marketing Group","http://corcoran.com"
"Howard M. Lorber","Vector Group Ltd.","http://vectorgroupltd.com/"
"William Macklowe","William Macklowe Company","http://www.williammacklowecompany.com"
"Qahir Madhany","Blackstone","http://www.blackstone.com"
"Anthony Malkin","Empire State Realty Trust Inc","http://www.empirestaterealtytrust.com"
"Jeffrey Mandel","Tishman Speyer Properties LP","http://www.tishmanspeyer.com"
"Frederick Marek","Helmsley Spear","http://www.helmsley-spear.com"
"Frank Marino","Marino","http://www.marinopr.com"
"Ken McIntyre","Real Estate Executive Council (REEC)","https://reec.org"
"Joseph McMillan, Jr.","DDG","http://www.ddgpartners.com"
"Kara McShane","Wells Fargo Multifamily Capital Group","https://www.wellsfargo.com/com/financing/real-estate/multi-family-capital"
"Jonathan L. Mechanic","Fried, Frank, Harris, Shriver & Jacobson LLP","http://www.friedfrank.com"
"Stephen J. Meringoff","Himmel + Meringoff Properties, LLC","http://www.hmprop.com"
"Melanie Meyers","Fried, Frank, Harris, Shriver & Jacobson LLP","http://www.friedfrank.com"
"Edward Minskoff","Minskoff, Edward J. Equities, Inc.","http://www.ejmequities.com"
"Joseph Moinian","The Moinian Group","http://www.moinian.com"
"William Montana","Savills Inc","http://www.savills.us"
"Ross F. Moskowitz","Stroock & Stroock & Lavan LLP","http://www.stroock.com"
"BRUCE MOSLER","Cushman & Wakefield Inc","http://www.cushmanwakefield.com"
